mineID,site,ancientName,province,country,region,miningDistrict,romanianRANID,sanchezPalenciaAndOrejasID,domergueID,spainMapSheet,lambertX,lambertY,latitude,longitude,coordinateAccuracy,locationDataSource,locationNotes,notBeforeOpeningDate,notAfterOpeningDate,notBeforeClosingDate,notAfterClosingDate,inUseDate,metalMinedGold,metalMinedSilver,metalMinedLead,metalMinedCopper,metalMinedTin,metalMinedIron,metalMinedMercuryCinnabar,metalMinedZinc,metalMinedOther,description,references,techniqueOpencast,techniqueUnderground,techniqueHydraulic,techniqueHushing,techniqueGroundSluicing,techniqueRuinaMontium,techniqueRakeComb,techniqueGoldWashing,techniqueOther,notes,geology,depositType,exploitationType
1,Aljustrel,Vipasca,Lusitania,Portugal,Beja,Alentejo,,,POR 2,538,197.6,99.6,37.880874,-8.175981,1000,Google Earth,,,,,,,?,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"A copper mining district with also extraction of silver, iron, and perhaps gold. Two bronze tablets were found here detailing the laws and regulations as well as the imperial administration's role in managing the town, granting leases, and overseeing the mining works.",Domergue 1983: 5-193; Domergue 1990: 62,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Pyrite,,
2,Atalaia de Alte,,Lusitania,Portugal,Faro,Algarve,,,POR 24,587,195.2,30.8,37.24315224,-8.187164537,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 62,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
3,Avintes,,Lusitania,Portugal,Northern Portugal,Northern Portugal,,NP-01,,,,,41.099158,-8.544675,1000,"Placename, Google Earth",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 198",TRUE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Secondary,Selective - Extensive
4,Belmonte - Colmeal - Maçainhas,,Hispania Tarraconensis,Portugal,Castelo Branco,Trás-os-montes,,,POR 15,214,267.3,380.4,40.38963823,-7.340493633,,,,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 41,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,Primary,
5,Brancanes,,Lusitania,Portugal,Beja,Alentejo,,,POR 3,564,210.3,65.7,37.55756281,-8.016500588,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 62,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Hard rock,,
6,Buraco dos Mouros de Urros,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-17,,,,,41.07721,-7.040592,50,http://www.cm-moncorvo.pt/o-que-visitar/patrimonio/geologico/buraco-dos-mouros-de-urros,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 199",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Primary,Extensive
7,Cabeço de Mua,,Hispania Tarraconensis,Portugal,Braga,Trás-os-montes,,,POR 13,119,298.7,470,41.19318578,-6.956601638,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,Domergue 1990: 41,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,Primary,
8,Carvalhelos,,Hispania Tarraconensis,Portugal,Viano do Castelo,Trás-os-montes,,,POR 41,41,232.8,524.2,41.68652096,-7.739182189,,,,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 41,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,Primary,
9,Cerro da Mina,,Lusitania,Portugal,Faro,Algarve,,,POR 23,574,233.4,53.6,37.44799935,-7.755615659,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 62,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
10,Cisterna dos Cães,,Lusitania,Portugal,Faro,Algarve,,,POR 26,595,172.9,25,37.19050854,-8.438280827,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 62,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
11,Corta da Torre,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-19,,,,,41.69245,-8.670924,5000,"Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 12",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 199",,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Primary,Extensive
12,Corta do Penedo das Bruxas,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-11,,,,,41.737828,-7.573834,1000,"Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 12",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 198",,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Primary,Extensive
13,Covas de Mouros de Monte da Nó,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-20,,,,,41.708911,-8.59835,2000,"Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 12",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 199",,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Primary,Selective
14,Crugeira,,Hispania Baetica,Portugal,Beja,Picos de Aroche,,,POR 10,513,271.5,127.4,38.11068367,-7.317816557,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 61,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,Primary,
15,Ervedosa,,Hispania Tarraconensis,Portugal,Bragança,Trás-os-montes,,,POR 14,49,286.3,529,41.7257388,-7.095970035,,,,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 41,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,Primary,
16,Escadia Grande,,Hispania Tarraconensis,Portugal,Coimbra,Beiras,,,POR 20,253,201.5,345.5,40.07804448,-8.11552781,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 41,,,,,,,,,,,Hard rock,,
18,Folgadouro,,Hispania Tarraconensis,Portugal,Viano do Castelo,Trás-os-montes,,,POR 39,27,148.3,533.5,41.7692345,-8.754909308,,,,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 41,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,Primary,
19,Forca,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-24,,,,,41.836843,-8.260849,5000,"Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 12",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 199",,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Primary,Extensive
20,França,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-18,,,,,41.9014042,-6.7373962,1000,https://wiki.city/en/portugal_braganca_braganca_franca,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 199",,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Primary,Selective
21,Furados de Pombeiro,,Hispania Tarraconensis,Portugal,Coimbra,Beiras,,,POR 19,232,201.9,363.7,40.24195054,-8.110787612,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 41,,,,,,,,,,,River placer deposits,,
22,Grovelas,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-22,,,,,41.751727,-8.437788,1000,Google Earth,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 199",,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Primary,Selective
23,Herdade da Tinoca,,Lusitania,Portugal,Portalegre,Alentejo,,,POR 29,386,285.7,235,39.07860132,-7.142712111,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 62,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,,
